 train         node      observed        predicted
     y          511    0.108781E+002    0.124052E+002
     y          511    0.112898E+002    0.121317E+002
     y          303    0.112772E+002    0.126533E+002
     y          245    0.114076E+002    0.111570E+002
     y           62    0.116784E+002    0.119109E+002
     y           72    0.141987E+002    0.139512E+002
     y          511    0.125245E+002    0.113513E+002
     y           62    0.117401E+002    0.117843E+002
     y          146    0.151252E+002    0.148664E+002
     y          299    0.127513E+002    0.124896E+002
     y          297    0.132357E+002    0.131735E+002
     y          303    0.121335E+002    0.121489E+002
     y          303    0.122968E+002    0.116490E+002
     y          303    0.124090E+002    0.123827E+002
     y          298    0.126698E+002    0.127039E+002
     y          302    0.121548E+002    0.119029E+002
     y          254    0.108590E+002    0.111461E+002
     y          303    0.110509E+002    0.120186E+002
     y          506    0.105454E+002    0.115431E+002
     y          245    0.113504E+002    0.117715E+002
     y          511    0.123884E+002    0.120417E+002
     y           62    0.120197E+002    0.117460E+002
     y          150    0.109853E+002    0.106809E+002
     y          297    0.120459E+002    0.125603E+002
     y          511    0.118263E+002    0.121369E+002
     y          299    0.111563E+002    0.114865E+002
     y          296    0.947278E+001    0.102947E+002
     y          297    0.124372E+002    0.126706E+002
     y          303    0.123880E+002    0.119285E+002
     y          297    0.128992E+002    0.125299E+002
     y          299    0.108648E+002    0.113653E+002
     y          303    0.117906E+002    0.116193E+002
     y          298    0.123884E+002    0.125968E+002
     y          510    0.114210E+002    0.121568E+002
     y          511    0.118130E+002    0.117258E+002
     y          299    0.121548E+002    0.125216E+002
     y          245    0.117906E+002    0.117137E+002
     y          299    0.128930E+002    0.125543E+002
     y          297    0.124646E+002    0.125592E+002
     y          302    0.125602E+002    0.123906E+002
     y          298    0.124871E+002    0.125760E+002
     y          245    0.113563E+002    0.110747E+002
     y          302    0.125062E+002    0.126624E+002
     y          511    0.115945E+002    0.122382E+002
     y          147    0.129239E+002    0.130242E+002
     y          299    0.130498E+002    0.126001E+002
     y          511    0.126281E+002    0.126047E+002
     y          299    0.120137E+002    0.114634E+002
     y          302    0.123239E+002    0.118031E+002
     y          150    0.107558E+002    0.111786E+002
     y          245    0.114317E+002    0.119041E+002
     y          247    0.123480E+002    0.116585E+002
     y           72    0.129396E+002    0.128122E+002
     y          297    0.128545E+002    0.129307E+002
     y          297    0.108590E+002    0.122583E+002
     y          510    0.130148E+002    0.116695E+002
     y          511    0.125245E+002    0.122696E+002
     y          303    0.121955E+002    0.117018E+002
     y          298    0.126281E+002    0.126622E+002
     y          511    0.131993E+002    0.127820E+002
     y          511    0.125672E+002    0.122199E+002
     y          252    0.119250E+002    0.116997E+002
     y          303    0.137902E+002    0.115891E+002
     y          303    0.126082E+002    0.115891E+002
     y          299    0.124684E+002    0.123759E+002
     y          303    0.130919E+002    0.132931E+002
     y          299    0.118277E+002    0.117516E+002
     y          302    0.121145E+002    0.118758E+002
     y          245    0.106828E+002    0.111770E+002
     y          297    0.121281E+002    0.118780E+002
     y          147    0.131323E+002    0.134460E+002
     y          297    0.132879E+002    0.135419E+002
     y          303    0.125245E+002    0.117775E+002
     y          303    0.135076E+002    0.129323E+002
     y          303    0.133146E+002    0.125118E+002
     y          147    0.141149E+002    0.138515E+002
     y          303    0.128866E+002    0.125063E+002
     y          298    0.121548E+002    0.122437E+002
     y           29    0.979818E+001    0.101626E+002
     y          299    0.124684E+002    0.112937E+002
     y           29    0.112186E+002    0.111284E+002
     y          247    0.126149E+002    0.121580E+002
     y          303    0.114564E+002    0.113569E+002
     y          511    0.129480E+002    0.127142E+002
     y          511    0.122405E+002    0.121535E+002
     y          247    0.118845E+002    0.116036E+002
     y          299    0.122784E+002    0.117734E+002
     y          510    0.121007E+002    0.123769E+002
     y          302    0.124090E+002    0.119535E+002
     y          252    0.125461E+002    0.123372E+002
     y          302    0.120611E+002    0.117804E+002
     y          297    0.125245E+002    0.124157E+002
     y          302    0.123239E+002    0.120142E+002
     y          510    0.124684E+002    0.122021E+002
     y          303    0.126698E+002    0.128766E+002
     y          298    0.125245E+002    0.127203E+002
     y          299    0.100648E+002    0.113611E+002
     y          299    0.105454E+002    0.113611E+002
     y          511    0.123140E+002    0.123019E+002
     y          245    0.119672E+002    0.117321E+002
     y          245    0.121808E+002    0.117490E+002
     y          297    0.131224E+002    0.129376E+002
     y          247    0.122061E+002    0.116868E+002
     y          299    0.117361E+002    0.121123E+002
     y           27    0.121533E+002    0.121199E+002
     y          510    0.123631E+002    0.123649E+002
     y          245    0.116082E+002    0.109461E+002
     y          245    0.121335E+002    0.118753E+002
     y          303    0.990354E+001    0.111182E+002
     y          511    0.121548E+002    0.114318E+002
     y          302    0.106454E+002    0.113081E+002
     y          303    0.116953E+002    0.120050E+002
     y          511    0.115806E+002    0.123438E+002
     y          302    0.114065E+002    0.115850E+002
     y          302    0.123842E+002    0.122532E+002
     y          511    0.125947E+002    0.122820E+002
     y          511    0.119447E+002    0.124475E+002
     y          298    0.121808E+002    0.123401E+002
     y          299    0.123502E+002    0.117887E+002
     y          511    0.124875E+002    0.123397E+002
     y          297    0.127367E+002    0.124927E+002
     y          303    0.126115E+002    0.124103E+002
     y           60    0.121118E+002    0.117582E+002
     y          252    0.123014E+002    0.120247E+002
     y          303    0.119954E+002    0.114389E+002
     y          511    0.117361E+002    0.122112E+002
     y          299    0.115602E+002    0.117710E+002
     y          511    0.119798E+002    0.120488E+002
