 train       observed       predicted
 y     1.087807E+01     1.143893E+01
 y     1.127722E+01     1.158075E+01
 y     1.140758E+01     1.147370E+01
 y     1.419873E+01     1.376085E+01
 y     1.252453E+01     1.234870E+01
 y     1.174007E+01     1.162075E+01
 y     1.275130E+01     1.260283E+01
 y     1.323569E+01     1.298529E+01
 y     1.213351E+01     1.210012E+01
 y     1.229683E+01     1.177544E+01
 y     1.240902E+01     1.251280E+01
 y     1.266981E+01     1.264859E+01
 y     1.215478E+01     1.195633E+01
 y     1.085902E+01     1.187033E+01
 y     1.105091E+01     1.104337E+01
 y     1.054537E+01     1.115359E+01
 y     1.135042E+01     1.164148E+01
 y     1.238840E+01     1.229803E+01
 y     1.201975E+01     1.186927E+01
 y     1.098531E+01     1.087612E+01
 y     1.204591E+01     1.247310E+01
 y     1.115626E+01     1.060351E+01
 y     9.472782E+00     1.018865E+01
 y     1.243719E+01     1.248963E+01
 y     1.289922E+01     1.246011E+01
 y     1.086477E+01     1.117997E+01
 y     1.179056E+01     1.199413E+01
 y     1.238840E+01     1.240586E+01
 y     1.142097E+01     1.172652E+01
 y     1.181304E+01     1.166190E+01
 y     1.289295E+01     1.284813E+01
 y     1.246459E+01     1.252977E+01
 y     1.256025E+01     1.213761E+01
 y     1.248711E+01     1.260240E+01
 y     1.135628E+01     1.150684E+01
 y     1.292391E+01     1.285597E+01
 y     1.304979E+01     1.293338E+01
 y     1.201371E+01     1.092630E+01
 y     1.232386E+01     1.223230E+01
 y     1.075579E+01     1.074872E+01
 y     1.143173E+01     1.169810E+01
 y     1.234801E+01     1.185108E+01
 y     1.293964E+01     1.276077E+01
 y     1.285449E+01     1.270978E+01
 y     1.301478E+01     1.183644E+01
 y     1.252453E+01     1.242916E+01
 y     1.219552E+01     1.211937E+01
 y     1.192504E+01     1.182644E+01
 y     1.379019E+01     1.269403E+01
 y     1.260820E+01     1.264515E+01
 y     1.309191E+01     1.330125E+01
 y     1.068284E+01     1.116172E+01
 y     1.212812E+01     1.189260E+01
 y     1.313232E+01     1.338229E+01
 y     1.328788E+01     1.340755E+01
 y     1.252453E+01     1.276569E+01
 y     1.331464E+01     1.313992E+01
 y     1.411487E+01     1.375175E+01
 y     1.288664E+01     1.172558E+01
 y     1.215478E+01     1.213107E+01
 y     9.798183E+00     1.063919E+01
 y     1.246844E+01     1.224093E+01
 y     1.261487E+01     1.204079E+01
 y     1.145637E+01     1.196676E+01
 y     1.294801E+01     1.298068E+01
 y     1.188450E+01     1.179361E+01
 y     1.227840E+01     1.211520E+01
 y     1.210072E+01     1.234857E+01
 y     1.254611E+01     1.220715E+01
 y     1.206105E+01     1.181658E+01
 y     1.252453E+01     1.254092E+01
 y     1.232386E+01     1.206989E+01
 y     1.246844E+01     1.244178E+01
 y     1.266981E+01     1.279479E+01
 y     1.006480E+01     1.089600E+01
 y     1.054537E+01     1.089678E+01
 y     1.231403E+01     1.258466E+01
 y     1.312237E+01     1.296959E+01
 y     1.220608E+01     1.186821E+01
 y     1.173608E+01     1.191975E+01
 y     1.215330E+01     1.227842E+01
 y     1.236308E+01     1.247896E+01
 y     1.160824E+01     1.120165E+01
 y     1.213351E+01     1.179378E+01
 y     9.903538E+00     1.036814E+01
 y     1.215478E+01     1.213049E+01
 y     1.064545E+01     1.104297E+01
 y     1.169526E+01     1.195691E+01
 y     1.158059E+01     1.227809E+01
 y     1.140646E+01     1.209605E+01
 y     1.238422E+01     1.204652E+01
 y     1.218076E+01     1.228131E+01
 y     1.235018E+01     1.194827E+01
 y     1.248749E+01     1.247811E+01
 y     1.273670E+01     1.231871E+01
