    Rank Group    Score       Missing     Variable
       1  A     8.667E+02           0     Town.Code
       2  A     6.044E+02           0     Neighborhood.Code
       3  A     5.640E+02           0     Property.Class
       4  A     4.729E+02       17269     log.Building.Square.Feet
       5  A     4.306E+02         991     Latitude
       6  A     3.475E+02       17269     Rooms
       7  A     3.464E+02       17269     Fireplaces
       8  A     3.135E+02       17269     Full.Baths
       9  A     2.994E+02       17269     PropClassSqFt
      10  A     2.942E+02       17269     Type.of.Residence
      11  A     2.785E+02       17269     Bedrooms
      12  A     2.485E+02       17269     Central.Air
      13  A     2.403E+02       17269     Garage.1.Attachment
      14  A     2.349E+02       17269     Garage.1.Material
      15  A     2.203E+02           0     Age
      16  A     2.151E+02         991     Census.Tract
      17  A     2.102E+02       17269     Half.Baths
      18  A     2.069E+02         991     Longitude
      19  A     2.036E+02       17269     Garage.1.Size
      20  A     1.933E+02       17269     Cathedral.Ceiling
      21  A     1.762E+02       17269     Garage.1.Area
      22  A     1.733E+02       39562     Percent.Ownership
      23  A     1.712E+02           0     log.Land.Square.Feet
      24  A     1.636E+02       17269     Design.Plan
      25  A     1.617E+02       17269     Basement
      26  A     1.609E+02       17269     Wall.Material
      27  A     1.368E+02       17269     Roof.Material
      28  A     1.353E+02       17270     Basement.Finish
      29  A     1.327E+02       39664     Number.of.Units
      30  A     1.318E+02       17269     Multi.Code
      31  A     1.183E+02       17269     Apartments
      32  A     1.177E+02           0     Modeling.Group
      33  A     1.174E+02       17269     Repair.Condition
      34  A     1.173E+02       17269     Attic.Type
      35  A     1.152E+02       17269     Construction.Quality
      36  A     1.107E+02           0     HoodSqFt
      37  A     1.045E+02       17269     Central.Heating
      38  A     1.029E+02       17269     Other.Heating
      39  A     9.679E+01       17269     Number.of.Commercial.Units
      40  A     9.331E+01       17269     Garage.2.Area
      41  A     9.225E+01       17269     Site.Desirability
      42  A     9.120E+01       17269     Garage.2.Material
      43  A     9.009E+01       17269     Garage.2.Attachment
      44  A     8.947E+01       17269     Garage.2.Size
      45  A     8.509E+01          48     Most.Recent.Sale
      46  A     8.070E+01       17269     Other.Improvements
      47  A     7.747E+01       39664     Condo.Class.Factor
      48  A     7.120E+01           0     Sale.Year
      49  A     5.738E+01         991     Road.Proximity
      50  A     4.990E+01         991     Floodplain
      51  A     3.297E+01           0     Sale.Month
      52  A     3.222E+01       56072     Total.Building.Square.Feet
      53  A     2.924E+01       50929     Multi-Family.Indicator
      54  A     2.559E+01           0     Multi.Property.Indicator
      55  A     2.153E+01           0     Attic.Finish
      56  A     1.661E+01       52216     Condition,.Desirability.and.Utility
      57  A     1.651E+01           0     Use
      58  A     1.594E+01         991     O'Hare.Noise
      59  A     1.276E+01           0     Porch
      60  A     6.877E+00       56858     Renovation
